Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2019,Toyota,Sienna SE,Used,"$39,998",Dealer,CA,Black,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic
2018,Ford,F-150 Lariat,Used,"$49,985",Dealer,CA,Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic
2017,RAM,1500 Laramie,Used,"$41,860",Dealer,CA,Black,Four-wheel Drive,15,21,Gasoline,8-Speed Automatic
2020,Lexus,RX 350,Used,"$49,000",Dealer,NV,Birch,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2017,Honda,HR-V LX,Used,"$20,995",Dealer,CA,Black,Front-wheel Drive,28,34,Gasoline,Automatic CVT
2014,Mercedes-Benz,E-Class E 350,Used,"$18,985",Dealer,CA,Saffron,Rear-wheel Drive,21,30,Gasoline,7-Speed Automatic
2021,Honda,Pilot Touring 8-Passenger,Used,"$44,299",Dealer,AZ,Beige,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2017,Lexus,RC 350 Base,Used,"$42,734",Dealer,AZ,Silver,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic
2013,Lexus,GS 350 Base,Used,"$16,990",Dealer,AZ,Black,Rear-wheel Drive,19,28,Gasoline,6-Speed Automatic
2017,Lexus,RX 350 RX 350,Used,"$36,450",Dealer,AZ,Gray,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2020,Dodge,Charger Scat Pack,Used,"$41,000",Dealer,AZ,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic
2017,Lexus,RC 350 Base,Used,"$41,493",Dealer,AZ,Sport,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic
2018,Ford,Explorer XLT,Used,"$32,995",Dealer,UT,Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic
2021,Subaru,Crosstrek Premium,Used,"$25,500",Dealer,UT,Black,All-wheel Drive,28,33,Gasoline,Automatic CVT
2018,Ford,Explorer XLT,Used,"$30,489",Dealer,UT,Ebony Black,Front-wheel Drive,17,24,Gasoline,6-Speed Automatic
2018,Ford,Explorer XLT,Used,"$32,489",Dealer,UT,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic
2021,Acura,RDX A-Spec,Used,"$37,000",Dealer,UT,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic
2021,Acura,RDX A-Spec,Used,"$38,000",Dealer,UT,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic
2018,Ford,Explorer XLT,Used,"$31,672",Dealer,UT,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic
2021,Subaru,Forester Sport,Used,"$29,500",Dealer,ID,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Premium,Used,"$31,995",Dealer,WA,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Premium,Used,"$24,561",Dealer,WA,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2018,Subaru,Crosstrek 2.0i Premium,Used,"$24,921",Dealer,ID,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT
2016,BMW,435 Gran Coupe i xDrive,Used,"$30,995",Dealer,WA,Coral Red / Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic
2016,BMW,435 Gran Coupe i xDrive,Used,"$30,995",Dealer,WA,Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic
2019,Honda,Odyssey EX-L,Used,"$38,347",Dealer,TX,Gray,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic
2016,Honda,Odyssey EX-L,Used,"$28,999",Private,TX,Beige,Front-wheel Drive,19,28,Gasoline Fuel,6-Speed A/T
2020,Mercedes-Benz,GLC 300 Base,Used,"$43,451",Dealer,TX,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic
2019,Audi,Q5 2.0T Premium,Used,"$37,300",Dealer,TX,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift
2014,BMW,428 i,Used,"$27,741",Dealer,TX,Black,Rear-wheel Drive,23,34,Gasoline,8-Speed Automatic
2019,Honda,Odyssey EX-L,Used,"$38,900",Dealer,KS,Mocha,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic
2019,Lincoln,MKZ Standard,Used,"$30,691",Dealer,TX,Ebony,Front-wheel Drive,20,31,Gasoline,6-Speed Automatic
2020,Subaru,Ascent Touring 7-Passenger,Used,"$31,754",Dealer,MN,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT
2017,Land,Rover Range Rover Evoque SE Premium,Used,"$34,555",Private,WI,Beige,Four-wheel Drive,21,29,Gasoline Fuel,Transmission w/Dual Shift Mode
2022,Honda,Pilot EX-L,Used,"$41,535",Dealer,LA,Gray,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2013,INFINITI,G37 x,Used,"$17,300",Private,IL,Black,All-wheel Drive,18,25,Gasoline Fuel,7-Speed A/T
2017,Honda,Civic EX,Used,"$22,004",Dealer,IL,Black / Gray,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2015,Jeep,Grand Cherokee SRT,Used,"$52,884",Dealer,IN,Sepia / Black,Four-wheel Drive,13,19,Gasoline,8-Speed Automatic
2011,Ford,Explorer Limited,Used,"$12,290",Dealer,IN,Beige,Front-wheel Drive,17,25,Gasoline,6-Speed Automatic
2017,BMW,M240 i,Used,"$33,900",Dealer,GA,Oyster/Black,Rear-wheel Drive,21,32,Gasoline,8-SPEED A/T
2020,Volvo,XC60 T5 Inscription,Used,"$41,389",Dealer,TN,Charcoal,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic
2018,Honda,Civic EX,Used,"$23,739",Dealer,OH,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT
2020,BMW,X1 xDrive28i,Used,"$32,893",Dealer,OH,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic
2020,BMW,X1 xDrive28i,Used,"$30,693",Dealer,OH,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic
2019,Acura,ILX Premium & A-SPEC Packages,Used,"$23,995",Dealer,SC,Red,Front-wheel Drive,24,34,Gasoline,8-Speed Automatic with Auto-Shift
2021,Chrysler,300 S,Used,"$30,000",Dealer,FL,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Used,"$53,000",Private,VA,Red,Four-wheel Drive,17,23,Gasoline Fuel,8-Speed A/T
